"Server","User","Password","Database","Role"
"sql3","User0","Password0","Welcome Home (Sanitarium) - Live at Day on the Green, Oakland, CA / October 12th, 1991","db_datareader"
"sql3","User1","Password1","72 Seasons","db_datareader"
"sql3","User2","Password2","2-The Best Day","db_datareader"
"sql3","User3","Password3","4-Karma","db_owner"
"sql3","User4","Password4","2-Never Grow Up","db_datawriter"
"sql3","User5","Password5","The Four Horsemen - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_datawriter"
"sql3","User6","Password6","5-Message in a Bottle (Taylor’s version)","db_datawriter"
"sql3","User7","Password7","5-Last Kiss","db_owner"
"sql3","User8","Password8","2-Invisible","db_owner"
"sql3","User9","Password9","3-no body, no crime","db_datareader"
"sql3","User10","Password10","3-End Game","db_owner"
"sql3","User11","Password11","0-Snow on the Beach","db_owner"
"sql3","User12","Password12","Sad But True - Take 36 - February 5th, 1991","db_datareader"
"sql3","User13","Password13","2-Last Kiss","db_datareader"
"sql3","User14","Password14","4-You Need to Calm Down","db_owner"
"sql3","User15","Password15","5-I Bet You Think About Me (Taylor’s version)","db_datawriter"
"sql3","User16","Password16","3-I Bet You Think About Me (Taylor’s version)","db_datawriter"
"sql3","User17","Password17","4-Red (Taylor’s version)","db_owner"
"sql3","User18","Password18","1-Forever Winter (Taylor’s version)","db_datawriter"
"sql3","User19","Password19","5-I Hate It Here","db_datareader"
"sql3","User20","Password20","5-Enchanted","db_owner"
"sql3","User21","Password21","1-Delicate","db_datawriter"
"sql3","User22","Password22","3-illicit affairs","db_owner"
"sql3","User23","Password23","2-Paris","db_datawriter"
"sql3","User24","Password24","0-Teardrops on My Guitar","db_owner"
"sql3","User25","Password25","5-So It Goes…","db_owner"
"sql3","User26","Password26","0-Blank Space","db_datawriter"
"sql3","User27","Password27","2-Girl at Home (Taylor’s version)","db_datareader"
"sql3","User28","Password28","4-Should\'ve Said No","db_datareader"
"sql3","User29","Password29","3-Mine","db_datawriter"
